 ,Label,Area,Mean,Min,Max,Angle,Length(micrometer,Length(mm),Random num,Random
,,,,,,,,,0.765689304,1.109065221
,,,,,,,,,1.690348348,0.550823892
,,,,,,,,,0.736985743,0.691134723
,,,,,,,,,1.080278744,0.139291451
,,,,,,,,,0.713713657,1.332033667
,,,,,,,,,1.647372298,1.583862106
,,,,,,,,,1.018470938,0.493685192
,,,,,,,,,1.110290616,0.590137187
,,,,,,,,,0.499586679,0.601819828
,,,,,,,,,1.659741789,0.927246222
,,,,,,,,,0.681640203,1.002312117
,,,,,,,,,0.495146349,0.918388179
,,,,,,,,,0.505374966,1.212049467
,,,,,,,,,1.327866778,1.026607913
,,,,,,,,,0.634223824,1.25053993
,,,,,,,,,0.633153387,0.912147225
,,,,,,,,,0.411335124,0.987278908
,,,,,,,,,1.027827348,0.777081047
,,,,,,,,,0.847082135,1.029984993
,,,,,,,,,1.561340907,0.372179702
,,,,,,,,,0.906431901,1.149626838
,,,,,,,,,0.840263057,0.875354466
,,,,,,,,,0.482856151,0.86083479
,,,,,,,,,0.433774648,0.877144796
,,,,,,,,,1.270102845,0.917946979
,,,,,,,,,1.470829541,0.863856749
,,,,,,,,,1.142284778,0.893841999
,,,,,,,,,1.430787281,0.550546996
,,,,,,,,,1.636033599,1.305845751
,,,,,,,,,1.519633524,0.704987362
,,,,,,,,,1.578150728,0.650022587
,,,,,,,,,0.601753912,0.912830627
,,,,,,,,,1.208255393,1.102310407
,,,,,,,,,1.695185136,1.183753085
,,,,,,,,,1.454257596,0.781101926
,,,,,,,,,0.73191108,1.029619726
,,,,,,,,,1.240447785,0.890096379
,,,,,,,,,1.236364267,0.548601526
,,,,,,,,,1.199771192,0.360983428
,,,,,,,,,1.549248938,0.851540456
,,,,,,,,,1.450649828,0.972614565
,,,,,,,,,1.035399696,1.302902671
,,,,,,,,,1.247028988,0.653351882
,,,,,,,,,0.874635968,0.479049651
,,,,,,,,,1.279974649,0.95833709
,,,,,,,,,1.323307511,0.816271932
,,,,,,,,,0.692978902,0.717943199
,,,,,,,,,1.397326224,0.830497039
,,,,,,,,,1.163971032,0.639628199
,,,,,,,,,0.616383213,0.617064146
,,,,,,,,,1.271807614,0.288189321
,,,,,,,,,1.518404504,0.785982294
,,,,,,,,,0.9343029,0.797433861
,,,,,,,,,0.673750688,1.131882603
,,,,,,,,,1.089080112,0.613319836
,,,,,,,,,1.31954116,0.785123459
,,,,,,,,,0.912458063,0.975435889
,,,,,,,,,0.780278959,1.134201196
,,,,,,,,,0.892793745,0.989539895
,,,,,,,,,0.800300089,0.956002133
,,,,,,,,,1.514083111,1.463156537
,,,,,,,,,1.694075053,1.049742122
,,,,,,,,,0.837289622,0.599811516
,,,,,,,,,0.655275744,0.761808581
,,,,,,,,,0.43016688,0.997660859
,,,,,,,,,1.274424237,0.985989346
,,,,,,,,,1.420994768,0.648119012
,,,,,,,,,0.922488451,0.812932164
,,,,,,,,,1.391181125,0.524702745
,,,,,,,,,0.829439753,0.925676165
,,,,,,,,,0.843751888,0.998897071
,,,,,,,,,1.278666338,0.489453859
,,,,,,,,,1.102480393,0.476653816
,,,,,,,,,1.601541751,1.601248274
,,,,,,,,,1.166587655,0.826155733
,,,,,,,,,0.910475773,0.91490309
,,,,,,,,,0.834990166,0.498474243
,,,,,,,,,1.336549209,0.744019179
,,,,,,,,,1.228752273,0.854442951
,,,,,,,,,0.438651081,1.109036419
,,,,,,,,,1.464882671,1.066210869
,,,,,,,,,1.532161597,1.269697445
,,,,,,,,,1.695938406,0.620620587
,,,,,,,,,1.226096004,1.005153407
,,,,,,,,,1.164803594,1.102930312
,,,,,,,,,1.535888302,0.637996281
,,,,,,,,,1.494299856,1.211338572
,,,,,,,,,0.649130645,1.045827615
,,,,,,,,,1.30840069,1.439698301
,,,,,,,,,0.480398111,0.605977846
,,,,,,,,,0.610396696,0.393797203
,,,,,,,,,0.748007276,0.591512501
,,,,,,,,,0.817149555,1.183610382
,,,,,,,,,1.413898169,0.819003904
,,,,,,,,,1.503537328,0.814292423
,,,,,,,,,1.55452183,0.726615991
,,,,,,,,,1.400378951,0.406856467
,,,,,,,,,0.939694729,1.077566537
,,,,,,,,,0.726281376,0.653638596
,,,,,,,,,0.410304333,0.603400032
,,,,,,,,,1.318431078,1.349160614
,,,,,,,,,1.592780029,1.524152138
,,,,,,,,,0.673790334,1.452002157
,,,,,,,,,1.051178725,0.477304488
,,,,,,,,,1.419250352,1.167388092
,,,,,,,,,1.687612787,0.691507845
,,,,,,,,,0.580186595,0.472971038
,,,,,,,,,0.50779336,1.012836444
